model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
GAS,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAS,mean,1647.2329726762305,1815.5401447745628,1816.4870407283713,1874.5757296545019,1898.6680729587038,1857.891425986604,1891.1268547778293,1961.9667804048115,1991.8333354077013,1995.6022560850236,1970.193788376702,2140.2928930061425,2327.006760997576,2460.8071262065837,2384.251663602467,2378.440064934953,2387.9988211242153,2339.6012979675124,2374.798966673924,2309.966678798182,2404.6138733642065,2442.001902790955,2538.360368973399,2602.90905190421
GAS,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,1373.6500087828954,1854.9057632384117,2155.653011953334,2380.616724624161,2482.987092858107,2599.900882605442,2723.7765735821918,2824.385929262069,2954.982774368056,3046.8251713916084,3117.9952078098586,3205.0733259787235,3295.177064021428,3363.3524441942445,3370.7748532101455,3371.2316039635043,3383.145880463236,3390.6341462444448,3408.4701473358214,3473.1099228796998,3593.8816629469707,3643.7725916717563,3666.638303915385,3636.9894553720933
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,1368.6574977960531,1746.1663605629146,1969.8348786200013,2085.0201996174505,2104.5242550202715,2160.7110866870757,2240.260957143835,2283.0744392206902,2369.6826229930557,2445.3976047342658,2511.320964302816,2616.185397255317,2714.086792949998,2770.4183582230203,2817.131969514492,2846.0320568832108,2874.5489837720584,2900.645124392592,2940.2514906194024,3021.70887024812,3156.6157556287876,3218.161143076336,3253.170305715385,3261.8337964573643
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,1783.285635712334,2212.834768321841,2378.688703468478,2514.7000286940875,2405.0336064480966,2401.0923508376886,2406.1951375953936,2333.9918487745826,2233.038685224383,2198.7560417314717,2147.462260209084,2205.9291177373734,2370.5113620881657,2310.851112974966,2243.167440687051,2158.873116880002,2195.4520836842144,2246.455259772293,2263.045171071661,2268.7585648469926,2204.390185712828,2171.199250224823,2207.8135993890696,2258.6483921336285
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,1637.3130828613628,2040.9693611101177,2099.901293977061,2214.119780364615,2177.563327287548,2144.191200362923,2184.8104191549414,2150.797596241079,2119.3515378013244,2080.065766746991,2113.9380811284295,2223.525462946194,2460.1453074498895,2474.329877453135,2534.6783505168883,2468.4649935206853,2454.1232002021675,2479.651359098838,2504.28970956327,2516.492742451277,2496.462395929139,2494.8455810035875,2522.941926986263,2568.838987464437
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,mean,1519.5450079828677,1973.8818204115007,2111.2721464887727,2122.1446401372414,2029.6097904914168,2035.1086216873625,2056.4544941823933,2033.0192797271932,2022.122463490607,2038.6069703773662,2121.455849758684,2227.918439932165,2386.683221561359,2401.7296629462976,2452.149859327699,2401.02866287596,2415.8357920655076,2485.044700810722,2575.73702983963,2609.8916832808054,2589.006875318984,2581.1427686527168,2646.297568789135,2707.938858644976
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,mean,1528.929825673952,1907.062433476699,2071.0924373230005,2123.352485114297,2047.666632998789,2050.6974666772153,2079.914629081488,2081.979582321873,2081.377276826143,2079.3234537012468,2124.94809509062,2241.172868662024,2366.666621241642,2433.084762273759,2437.4435094188543,2362.1267307717153,2370.8306141972166,2416.6037207183444,2490.075070670754,2493.579398543577,2468.913304373884,2504.8260717397134,2569.046205293467,2644.58564642074
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,mean,1462.3992459783594,1878.3810746650477,2024.0783214907547,2101.429900241818,2062.637743084428,2066.660306710258,2104.1944608242084,2098.8690004152686,2107.2216716318208,2127.3728258837764,2185.1263284831844,2277.710278623036,2396.956366405636,2439.8616480312803,2489.350306754003,2403.6666698347526,2416.544875257766,2462.790041375801,2530.3528886816216,2537.31446671178,2501.9345921236886,2553.693175582743,2629.926310541987,2709.3003043113713
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,mean,1511.5256312081335,1921.0748724582284,2027.4652558273776,2119.7439884315017,2131.446657861357,2185.104257760969,2259.697876896364,2261.1612804034435,2289.000324611941,2310.815321730409,2371.9971609914815,2494.499375374713,2644.510148252058,2686.751826488408,2758.3267056826558,2669.9611488963224,2700.398157096158,2762.5252247743306,2823.8666696871114,2857.4766684403853,2809.068310021554,2869.5122577485427,2942.3980939988646,3021.8402738798036
PARp-A_J_70,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,mean,1483.8430906598294,1862.0209586567019,2058.1127646790574,2143.5914775481747,2175.023605354177,2201.3610252452404,2254.084196950604,2271.791485609286,2277.250472695227,2304.8572202871187,2367.30217668113,2515.884658898449,2648.5882537727966,2700.0169823004135,2797.4083900435303,2686.9409332165815,2736.7918165300493,2811.755457048008,2870.6268060681987,2894.457987129506,2844.081621629343,2910.6630184870255,2998.574136344502,3076.7565085374736
PARp-A_J_80,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_R_1,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_R_1,mean,1413.1688924399223,1744.4592122370489,1961.2600844010442,2069.237139982796,2105.869803957264,2159.8773717248428,2226.0141878793747,2248.0779088182585,2262.133109517385,2297.6591719657595,2347.4072674114495,2483.260318351761,2627.338910603719,2673.8188856534402,2766.895677856913,2669.3859751571267,2729.3313849851584,2810.993027126589,2875.512385127323,2886.3520183954442,2832.8806179148596,2906.9191783313336,2994.725000585979,3057.2140689441394
PARp-A_R_1,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_R_3,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_R_3,mean,1373.2661548879958,1698.061603802202,1868.6485734908752,1964.3831237548027,2001.6024127810028,2053.6807188993835,2103.809329222647,2122.733157359761,2139.2026747057416,2164.068408565436,2221.562483487333,2332.2768295538713,2487.587534195624,2525.7932927317943,2612.813073088671,2548.0449070729155,2593.144617014547,2666.2402942171943,2739.2429222924216,2754.875366127506,2709.8009830364813,2779.0995044097585,2866.2542533391693,2930.3790188620424
PARp-A_R_3,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_R_10,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
