model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
GAS,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAS,mean,3708.0275538068827,4064.9623125979956,4196.765867280295,3851.801330179533,3736.6125148207343,3620.117028921678,3576.0889654587486,3614.2874263353433,3705.7911550872223,3796.867148424229,3808.5093275467984,3957.3170425398457,4390.503610910707,4906.393604072371,4933.110019402724,4263.564482887554,3870.9617909981066,3795.244922904691,3840.0563001441014,3888.3293881253244,3899.9044042006863,3942.1864700363208,1.743628789229412e11,1.164239671164384e9
GAS,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,mean,1128.6244495536118,1538.3339802654561,1736.1523172884533,1795.8978268844428,1810.9114865150677,1811.0621263299531,1832.9639057472873,1844.1241869535938,1873.6326401867013,1867.8501971844128,1886.8933050367102,1902.6602723504386,1908.8563450170004,1896.6233399966552,1893.1824889162394,1898.9711185928322,1900.547063974464,1882.8497735129035,1875.1710413429848,1907.568058732902,1935.2269861633406,1967.422661595466,1974.1012988907387,1967.7630126776971
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,mean,1136.1217466052558,1543.6592623775693,1751.7784105410267,1797.3509993458931,1806.428993849297,1793.286976115612,1806.4765100935676,1806.1533396214213,1835.6292482127635,1835.0662741624894,1851.6632212848876,1862.2315095580068,1874.9260022525714,1869.5272422055757,1866.4966613813556,1873.036047548898,1877.63295005928,1861.9672665643322,1855.241691374232,1888.8721565575854,1916.3858772585002,1947.7934014790912,1958.0155988628921,1955.054658790782
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,mean,1824.897718349108,2070.852221665902,2203.1878026606905,2332.9576250186597,2468.3151600949072,2651.500967227926,2799.3718288598498,2557.7731129257418,2318.1970433449032,2255.675835066351,2211.6731474608932,2223.9254628640433,2310.3431505431727,2195.5564573092133,2064.785057868788,1980.6836351933732,1981.2993442270754,1879.815366130607,1894.212284537245,1951.164408083709,1970.989356789719,1942.981481354599,1952.491652148533,1971.3582249552662
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,mean,1386.1588917684269,1701.3151541489904,1890.2147713830434,1901.5552582848393,1979.3300602330353,2026.620529795221,2060.022164559708,2038.9480198361823,2021.9734146929711,2020.4997178469594,2004.3314830045344,2005.9716123445744,2032.4846896567624,2004.5394073440555,1977.7567187569643,1972.1851647630237,1949.5248109359522,1919.1272503590335,1929.7217731547826,1929.1481828480314,1948.6873278368391,1965.3555724771559,1987.0806283485813,1999.4446130313938
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,mean,1282.1128836490545,1676.939805901228,1895.6681432591165,1946.8655979478913,1931.0710601028738,1950.6410702926005,2011.3101476131615,2013.789052566108,2023.4078503250062,2043.8955165317052,2043.8885774557978,2052.3545507564972,2085.5516787212946,2032.7068518361298,2008.3976974181005,2004.1182210906047,1990.6705160015858,1960.273233765146,1960.8283238166935,1958.2745782533184,1969.984371529335,1985.9448454457429,2007.7609345847561,2019.7836938059743
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,mean,1225.973533343421,1631.3028632556657,1907.8638718614825,1923.9917071093926,1891.5254820686612,1856.1441495956622,1851.3528825780847,1822.8243907478472,1831.3541756130778,1859.6525276609227,1869.034699753755,1874.3008697732225,1906.463788666759,1878.9526715260918,1864.9570776277787,1866.4251144925634,1865.672664635555,1849.1570847102062,1855.5645405845466,1856.2173046417631,1864.7070050316286,1882.9654622442358,1903.6885517783992,1911.0273168323445
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
